id	person	company	product
K250884	Michael  Pacelli	"Becton, Dickinson and Company"	"0.9 % Sodium Chloride Injection, USP, BD PosiFlush™ SP Syringe"
K250896	Scott  Blomberg	"Aura Wellness, LLC"	Aura Wave
K250912	Sarah  Esterquest	"Cytovale, Inc."	IntelliSep Test
K250927	Jordan Lydia Verla	Karl Storz SE & Co.Kg	KARL STORZ Cholangiography Set
K250963	Matija  Rupnik	"Cosylab Jsc, Control System Laboratory"	PlanOne 1
K251004	Min  Li	"Hefei Chimed Intelligent Machine Co., Ltd."	"Dual-Mode Mobile C-Arm (Geelin500A, Geelin500M)"
K251006	Sharon  Shachar	"Vesalio, Inc."	NeVasc Aspiration System
K251058	Tho  Tran	Truvian Health	Tru Kidney Health Test Panel; Tru Analyzer
K251070	Theresa  Brandner	Akura Medical	Akura Thrombectomy System
K251078	Mathilde  Masurel	Eos Imaging	AutoDensity
K251129	Denise  Domiciano	S.I.N. Implant System Ltda	S.I.N. Tapered Pro Conical Zygoma Implant System
K251141	Praneet  Inthajak	"Mercator Medical (Thailand), Ltd."	"Powder Free Nitrile Patient Examination Glove, Blue colored, Non-sterile Tested for Use with Chemotherapy Drugs and Fentanyl Citrate; Powder Free Nitrile Patient Examination Glove, Black colored, Non-sterile Tested for Use with Chemotherapy Drugs and Fentanyl Citrate"
K251191	Victoria  Augustine	"Collagen Matrix, Inc."	Collagen Dura Regeneration Membrane - Repair
K251203	Hyeyi  Park	"Coreline Soft Co.,Ltd"	AVIEW Lung Nodule CAD
K251205	Laura  Sobrin	Dentsply Sirona	Atlantis® Abutments in Titanium for Straumann BLX and Neodent GM Implants
K251257	Albert  Sanford	Np Medical	nSet+ Stabilization Set [6426733]; nSet+ Stabilization Set with nSyte Needle Free Connector (NFC) [6426731]; nSyte Needle Free Connector (NFC) [6426727]
K251293	Roman  Sandler	Icardio.Ai	CardioVision
K251295	Sven  Erdmann	Ulrich GmbH & Co. KG	ulrichINJECT CT Motion (XD 8000)
K251303	Xueying  Qin	"Menovex Medical Technology (Shenzhen) Co., Ltd."	Tamburo Thulium Fiber Laser System
K251314	Kruti  Gosalia	Orthosoft Inc. (D/B/A) Zimmer Cas	Rosa® Knee System
K251336	Shinichiro  Kawachi	Olympus Medical Systems Corp.	VISERA ELITE III Video System Center Olympus OTV-S700 (OTV-S700); VISERA ELITE III Light Source Olympus CLL-S700 (CLL-S700); 4K Camera Head Olympus CH-S700-XZ-EA (CH-S700-XZ-EA)
K251337	Sonali  Karnik	Thermo Fisher Scientific (Oxoid Ltd.)	Thermo Scientific Oxoid Gepotidacin Disc (10 µg) GEP10
K251365	Craig  Meyer	"Si Solutions, LLC"	OptumSI Implant System
K251370	"Orlando  Tadeo, Jr."	Canon Medical Systems Corporation	Cartesion Prime (PCD-1000A/3) V10.21
K251391	Colleen  Hanlon	"Brainsway , Ltd."	BrainsWay Deep TMS System
K251401	Joel  Karp	Trustees OF The University OF Pennsylvania	PennPET Explorer Positron Emission Tomograph
K251403	John  Hoffer	Dornier Medtech America Inc (Dmta)	"Dornier Bi-Polar Electrode  BIP12CLM Bipolar 12° Medium Cutting Loop 24 Fr Electrode-Sterile, Single-Use BIP12CLL Bipolar 12° Large Cutting Loop 24 Fr Electrode-Sterile, Single-Use BIP30CLM Bipolar 30° Medium Cutting Loop 24 Fr Electrode-Sterile, Single-Use BIP30CLL Bipolar 30° Large Cutting Loop 24 Fr Electrode-Sterile, Single-Use BIPMBLA Bipolar Medium Bladder Loop 24 Fr Electrode-Sterile, Single-Use BIPNEEL Bipolar Needle 24 Fr Electrode-Sterile, Single-Use BIPDDSC Bipolar Disc )"
K251410	Serin  Park	"Vieworks Co., Ltd."	VXvue
K251441	Hanne  Kankaanpää	Inion OY	Inion CPS 1.5 Baby Bioabsorbable Fixation System; Inion CPS 1.5/2.0/2.5 Bioabsorbable Fixation System
K251506	Pierre  Pelletier	Neuro Event Labs OY	Nelli (Version 7.11)
K251514	Alireza  Sojoudi	"Overjet, Inc."	Overjet CBCT Assist
K251532	Mark  Wylie	Mighty Oak Medical	Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX)
K251538	Young-A  Kim	Princeton Biomeditech Corp	Status™ COVID-19/Flu A&B
K251550	John  Pappan	Naox Technologies Sas	NX01 (NX01)
K251555	Bill  Rhoda	Pace Surgical	Ultra™ Compression Screw System
K251566	Honggeun  Lee	"Starmed Co., Ltd."	TS-RF Generator (STS10)
K251596	Mie  Dyrholm	William Cook Europe Aps	Lunderquist Extra Stiff Wire Guide
K251601	Jing  Tang	"Shenzhen Mindray Bio-Medical Electronics Co., Ltd."	Hepatus 7/Hepatus 6/Hepatus 5/Hepatus 7S/Hepatus 6S/Hepatus 5S/Hepatus7T/Hepatus 6T/Hepatus 5T/Fibrous 7/Fibrous 6/Fibrous 5 Diagnostic UltrasoundSystem
K251607	Leona  Zhou	"Foshan Kycare Medical Equipment Co., Ltd."	Oxygen Concentrator (J5A)
K251626	Rachel  Schwieterman	Midmark Corporation	Midmark Dental Delivery System
K251631	Claudia  Pajares Ibanez	Laerdal Medical AS	The BAG manual resuscitator and accessories
K251657	Rose  Malonzo	Resmed Corp.	Personalized Therapy Comfort Settings (PTCS)
K251659	Xinxin  Wang	"Qingdao Future Medical Technology Co., Ltd."	Mesh Nebulizer (H6)
K251662	Xiongxiu  Zhou	"Shenzhen Future Electronic Co., Ltd."	Air Compression Therapy Device (ST-504); Air Compression Therapy Device (ST-505); Air Compression Therapy Device (ST-506); Air Compression Therapy Device (ST-507)
K251674	Arathi  Sundaresan	Mgc Diagnostics Corporation	Fenom Flo™ FeNO Monitoring System
K251691	Huanyu  Zeng	"Unimed Medical Supplies, Inc."	Unimed Reusable SpO2 Sensors (-08 Series) (U403S-08); Unimed Reusable SpO2 Sensors (-08 Series) (U203S-08); Unimed Reusable SpO2 Sensors (-08 Series) (U103S-08); Unimed Reusable SpO2 Sensors (-08 Series) (U103-08)
K251693	Huanyu  Zeng	"Unimed Medical Supplies, Inc."	Unimed Reusable SpO2 Sensors (-75 Series) (U410-75); Unimed Reusable SpO2 Sensors (-75 Series) (U110-75); Unimed Reusable SpO2 Sensors (-75 Series) (U410S-75); Unimed Reusable SpO2 Sensors (-75 Series) (U110S-75); Unimed Reusable SpO2 Sensors (-75 Series) (U210S-75)
K251695	Xiaobin  Lin	"Unimed Medical Supplies, Inc."	Unimed Reusable SpO2 Sensors (-06 Series) (U403S-06); Unimed Reusable SpO2 Sensors (-06 Series) (U203S-06); Unimed Reusable SpO2 Sensors (-06 Series) (U103S-06)
K251696	Huanyu  Zeng	"Unimed Medical Supplies, Inc."	Unimed Reusable SpO2 Sensors (-48 Series and -29 Series) (U410-48); Unimed Reusable SpO2 Sensors (-48 Series and -29 Series) (U410-29)
K251697	Catherine  Shi	"Acon Laboratories, Inc."	Flowflex® Plus Strep A Rapid Test Cassette; Flowflex® Plus Strep A Rapid Test Strip
K251702	Alicia  Honemeyer	Philips Medizin Systeme Böblingen GmbH	IntelliVue Patient Monitor MX750; IntelliVue Patient Monitor MX850; IntelliVue 4-Slot Module Rack FMX-4 (866471 866470 866468 )
K251709	Brian  Buss	Medcad	MedCAD® AccuStride™ System
K251722	Freddie  Lee	"Epic Medical Pte. , Ltd."	"ProSeal™ Transfer Injector (421120, 421130, 421140)"
K251731	Trujillo  Mario	Karl Storz SE & Co.Kg	KARL STORZ Flexible Intubation Video Endoscope – Sterile (FIVE-S) (0916612)
K251756	Renee  Bennett	"Paragon Implant Mfg., LLC"	Sterilization Trays
K251779	Alexander  Hamad	Insulet Corporation	Omnipod 5 algorithm
K251792	Angela  McKnight	"Stereotaxis, Inc."	Stereotaxis GenesisX RMN with Navigant ™ Workstation (NWS)
K251798	Suyeon  Baek	"Ray Co., Ltd."	RCT700
K251821	Nathalie  Gilat	"Onward Medical, Inc."	ARC-EX System
K251822	Li  Hai Ting	"Siemens Shenzhen Magnetic Resonance , Ltd."	MAGNETOM Free.Max; MAGNETOM Free.Star
K251833	Katrina  Dombovari	"Encore Medical, LP"	EMPOWR Acetabular® Liner Extension
K251842	Guiqin  Zheng	"Fussen Technology Co., Ltd."	Dental Computed Tomography X-ray System
K251849	Jackson  Thornton	"Staclear, Inc."	StaClear Syringe (SC250AN); StaClear Syringe (SC250LS); StaClear Syringe (SC250LL)
K251853	Lu  Chen	"Shenzhen Mindray Bio-Medical Electronics Co., Ltd."	"Consona N5, Consona N5 Pro, Consona N5 Super, Consona N5 Exp, Consona ER, Consona N5S, Consona EI, Consona EF, Consona N5 Elite, Consona N5 Ultra, Consona N3, Consona N3 Exp Diagnostic Ultrasound System"
K251856	Jimmy  Cheng	"Everyway Medical Instruments Co.,Ltd"	"Li-Battery Powered OTC TENS/EMS Combination Stimulator, Model Z4"
K251872	Arindam  Ghatak	Biomoneta Research Private Limited	Biomoneta Avata Rx
K251880	Benjamin Kolin  Kolin	"Archy Dental, Inc."	Archy Dental Imaging
K251881	Zhuhua  Cai	Hippoclinic	HippoMind (v1.0)
K251904	Dorothy  Frieser	"Remington Medical, Inc."	"VascuChek Kit, VascuChek Transceiver, VascuChek Clinical Probe, VascuChek Speaker Dock (VC-KIT-02, VC-TRX-02, VC-CP-01, VC-SD-01); VascuChek Kit, VascuChek Transceiver, VascuChek Surgical Probe, VascuChek Speaker Dock (VC-KIT-02, VC-TRX-02, VC-SP-01, VC-SD-01)"
K251910	Hugo  Embert	"Edap Technomed, Inc."	Focal One®
K251932	Soyeon  Lim	"Uzinmedicare Co., Ltd."	Spectra Platinum
K251943	Megan  Polos	"Spineology, Inc."	Spineology Navigation Instruments
K252000	Xin  Gao	"Shanghai United Imaging Healthcare Co., Ltd."	uDR Arria & uDR Aris
K252004	Benjamin  Li	Encore Guards	enCore Night Guard
K252021	Ashe  Chen	"Changzhou New Med Micro-Medtech Co., Ltd."	Disposable Endoscopic Injection Needles
K252041	Joshua  Reicher	"Imvaria, Inc."	Fibresolve (with PCCP)
K252067	Knox  Pittman	"Restor3D, Inc."	Velora Acetabular System
K252069	Mike  Yramategui	"Intuitive Surgical, Inc."	da Vinci SP Surgical System (SP1098)
K252070	Raymond  Woo	"Ceribell, Inc."	Ceribell Infant Seizure Detection Software
K252086	Mieke  Roelants	Nobel Biocare C/O Medicim NV	DTX Studio Assist
K252103	Mark  Wylie	Mighty Oak Medical	Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX)
K252126	Surendra  Chawla	"Chawla Heart Technologies, LLC"	MitraPatch Mitral Valve Repair System
K252133	Martin  Stofanko	Adaptix Limited	Adaptix Ortho350
K252142	Jing Quan  Liu	"Shenzhen Siken 3D Technology Development Co., Ltd."	"Multi-functional Facial Beauty Device (SKB-1703,SKB-1803,SKB-1809, SKB-1909, SKB-2109,SKB-2129,SKB-2208PRO, SKB-2209)"
K252151	Christoph  Evers	Saremco Dental AG	els unibond
K252161	Alwin  Ngai	"Good Sleep CO Pte , Ltd."	Hushd Avera
K252213	Simona  Beilin Nissan	"Bend IT Technologies, Ltd."	Bendit17 Microcatheter
K252217	Jay  Vaishnav	"Canon Medical Informatics, Inc."	CT VScore+
K252248	Rebecca  Sporer	Dentsply Sirona	CEREC Tessera Abutment System
K252253	Marco  Steiner	Geistlich Pharma AG	Geistlich Mucograft® /Geistlich Mucograft®  Seal; Geistlich Fibro-Gide®
K252260	Jago  Chen	"Li Medical Corporation , Ltd."	RELIEEV HSG Catheter (HSG7FA1)
K252271	Xufan  Chi	"Hangzhou Ags Medtech Co., Ltd."	Hemoclip
K252281	Erdmann  Sven	Ulrich GmbH & Co. KG	ulricheasyINJECT Max 2M (XD 10140); ulricheasyINJECT Max 3 (XD 10150); ulricheasyINJECT Max 3 (XD 10180)
K252287	Zainab  Amini	"Medical Microinstruments, Inc."	Symani Surgical System
K252289	Subrai  Pai	Stemtech Medical Devices Private Limited	Eva Scalp Cooling System
K252296	Sam  Murray	"Oncopatch, Inc."	OncoPatch
K252308	Tse  Adrian	"Atop Lighting Co., Ltd."	LED Beauty Mask (RLBXX)
K252327	Vanessa  Faessler	Icotec AG	CMORE® CT System; CMORE® CT System Navigated Instruments
K252328	Behn  Bryan	Ge Medical Systems Ultrasound and Primary Care Diagnostics	Voluson Expert 18; Voluson Expert 20; Voluson Expert 22
K252330	Elísabet  Finnbogadóttir	Nox Medical Ehf	DeepRESP
K252355	Kenichi  Inamura	"Sb-Kawasumi Laboratories, Inc."	K-SHIELD Advantage PORT ACCESS INFUSION SET With High Pressure Tubing
K252366	Samir  Rajpurkar	"A2z Radiology Ai, Inc."	a2z-Unified-Triage
K252388	Mike  Kujak	"Francis Medical, Inc."	Vanquish Water Vapor Ablation Device
